condition,counter,picture1,picture2,participant,session,date,expName,psychopyVersion,frameRate,
,[],Faces_AI/aiface (11).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[45],,Faces_AI/aiface (110).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (5).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[46],,Faces_AI/aiface (104).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
resting,"[47, 48, 49, 50, 51, 52, 53, 54]",,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (12).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[55],,Houses_AI/aihouse (72).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (13).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[56],,Houses_AI/aihouse (73).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (11).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[57],,Houses_AI/aihouse (71).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (16).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[58],,Houses_AI/aihouse (76).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (10).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[59],,Houses_AI/aihouse (70).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (17).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[60],,Houses_AI/aihouse (77).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (14).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[61],,Houses_AI/aihouse (74).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (15).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[62],,Houses_AI/aihouse (75).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
resting,"[63, 64, 65, 66, 67, 68, 69, 70]",,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (13).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[71],,Faces_AI/aiface (112).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (17).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[72],,Faces_AI/aiface (116).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (19).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[73],,Faces_AI/aiface (118).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
