condition,counter,picture1,picture2,participant,session,date,expName,psychopyVersion,frameRate,
waiting,"[2, 3, 4, 5, 6]",,,003950,001,2022-11-25_10h01.39.796,LocalizerExperiment,2022.2.4,None,
,[],Faces_AI/aiface (199).png,,003950,001,2022-11-25_10h01.39.796,LocalizerExperiment,2022.2.4,None,
,[7],,Faces_AI/aiface (98).png,003950,001,2022-11-25_10h01.39.796,LocalizerExperiment,2022.2.4,None,
,[],Faces_AI/aiface (2).png,,003950,001,2022-11-25_10h01.39.796,LocalizerExperiment,2022.2.4,None,
,[8],,Faces_AI/aiface (101).png,003950,001,2022-11-25_10h01.39.796,LocalizerExperiment,2022.2.4,None,
,[],Faces_AI/aiface (3).png,,003950,001,2022-11-25_10h01.39.796,LocalizerExperiment,2022.2.4,None,
,[9],,Faces_AI/aiface (102).png,003950,001,2022-11-25_10h01.39.796,LocalizerExperiment,2022.2.4,None,
,[],Faces_AI/aiface (4).png,,003950,001,2022-11-25_10h01.39.796,LocalizerExperiment,2022.2.4,None,
,[10],,Faces_AI/aiface (103).png,003950,001,2022-11-25_10h01.39.796,LocalizerExperiment,2022.2.4,None,
,[],Faces_AI/aiface (1).png,,003950,001,2022-11-25_10h01.39.796,LocalizerExperiment,2022.2.4,None,
,[11],,Faces_AI/aiface (100).png,003950,001,2022-11-25_10h01.39.796,LocalizerExperiment,2022.2.4,None,
,[],Faces_AI/aiface (197).png,,003950,001,2022-11-25_10h01.39.796,LocalizerExperiment,2022.2.4,None,
,[12],,Faces_AI/aiface (96).png,003950,001,2022-11-25_10h01.39.796,LocalizerExperiment,2022.2.4,None,
,[],Faces_AI/aiface (198).png,,003950,001,2022-11-25_10h01.39.796,LocalizerExperiment,2022.2.4,None,
,[13],,Faces_AI/aiface (97).png,003950,001,2022-11-25_10h01.39.796,LocalizerExperiment,2022.2.4,None,
,[],Faces_AI/aiface (200).png,,003950,001,2022-11-25_10h01.39.796,LocalizerExperiment,2022.2.4,None,
,[14],,Faces_AI/aiface (99).png,003950,001,2022-11-25_10h01.39.796,LocalizerExperiment,2022.2.4,None,
resting,"[15, 16, 17, 18, 19, 20, 21, 22]",,,003950,001,2022-11-25_10h01.39.796,LocalizerExperiment,2022.2.4,None,
,[],Houses_AI/aihouse (6).png,,003950,001,2022-11-25_10h01.39.796,LocalizerExperiment,2022.2.4,None,
,[23],,Houses_AI/aihouse (105).png,003950,001,2022-11-25_10h01.39.796,LocalizerExperiment,2022.2.4,None,
,[],Houses_AI/aihouse (8).png,,003950,001,2022-11-25_10h01.39.796,LocalizerExperiment,2022.2.4,None,
